appid,game_title,tags,tag_count
985890,Streets of Rage 4,"Action, Beat 'em up, Indie, 2D, Fighting, Arcade, Local Multiplayer, Online Co-Op, Side Scroller, Great Soundtrack, Local Co-Op, Retro, Multiplayer, Co-op, Adventure, Co-op Campaign, Hand-drawn, Classic, Casual, Colorful",20
987840,Expeditions: Rome,"RPG, Strategy, Party-Based RPG, Rome, 3D, Turn-Based Strategy, CRPG, Turn-Based Tactics, Tactical RPG, Historical, Top-Down, Atmospheric, Tactical, Choices Matter, Story Rich, Turn-Based Combat, Singleplayer, Female Protagonist, Turn-Based, Character Customization",20
990080,Hogwarts Legacy,"Magic, Open World, Fantasy, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly",20
996580,Spyro™ Reignited Trilogy,"3D Platformer, Adventure, Dragons, Remake, Family Friendly, Action, Classic, Singleplayer, Platformer, Colorful, Collectathon, Cute, Fantasy, Cult Classic, Cartoony, Great Soundtrack, Casual, Third Person, Funny, Atmospheric",20
1001800,KUNAI,"Indie, Action, Adventure, Metroidvania, 2D, Platformer, Great Soundtrack, Pixel Graphics, Ninja, Singleplayer, Side Scroller, Hack and Slash, Cute, Post-apocalyptic, Parkour, Open World, Exploration, Casual, Atmospheric, Fantasy",20
1003590,Tetris® Effect: Connected,"Puzzle, Family Friendly, Multiplayer, Singleplayer, Competitive, Indie, Online Co-Op, Music, Arcade, Casual, Local Co-Op, Psychedelic, Score Attack, Atmospheric, Tutorial, Controller, Local Multiplayer, VR, PvP, Stylized",20
1016800,Chernobylite Complete Edition,"Survival, Post-apocalyptic, Horror, RPG, Sci-fi, Singleplayer, Atmospheric, Adventure, First-Person, Exploration, Survival Horror, Base Building, Simulation, Stealth, Crafting, Action-Adventure, Realistic, Supernatural, Nonlinear, Indie",20
1025600,Battle Realms: Zen Edition,"Strategy, Action, RTS, Classic, Multiplayer, Early Access, Fantasy, Fast-Paced, Singleplayer, Base Building",10
1030840,Mafia: Definitive Edition,"Open World, Crime, Story Rich, Action, Violent, Singleplayer, Adventure, Sexual Content, Multiplayer, Third-Person Shooter, Remake, Third Person, Shooter, Atmospheric, Classic, Mature, Noir, Gore, Great Soundtrack, Racing",20
1042490,Call of the Sea,"Adventure, Puzzle, Story Rich, First-Person, 3D, Lovecraftian, Female Protagonist, Indie, Atmospheric, Mystery, Exploration, Casual, Colorful, Singleplayer, Investigation, Narration, Walking Simulator, Historical, Surreal, Emotional",20
1043810,Tactical Breach Wizards,"Turn-Based Tactics, Puzzle, Turn-Based Strategy, Story Rich, Turn-Based, Funny, Tactical, Singleplayer, Strategy RPG, Tactical RPG, RPG, Military, Adventure, Indie, Isometric, Comedy, Mystery, Fantasy, Strategy, Satire",20
1049410,Superliminal,"Puzzle, First-Person, Surreal, Psychological, Narration, Physics, Singleplayer, Thriller, Story Rich, Psychedelic, Adventure, Funny, Exploration, Psychological Horror, 3D Vision, Puzzle Platformer, Minimalist, Cinematic, Dark Humor, Colorful",20
1057090,Ori and the Will of the Wisps,"Beautiful, Metroidvania, Platformer, Singleplayer, Great Soundtrack, Action, Adventure, Atmospheric, Story Rich, Exploration, Cute, Action-Adventure, Puzzle, Emotional, 2D, Indie, Fantasy, Difficult, Open World, Souls-like",20
1061310,DCS: A-10C Warthog - The Enemy Within 3.0 Campaign,"Simulation, Military, VR",3
1061910,Metal: Hellsinger,"Rhythm, FPS, Atmospheric, Singleplayer, 3D, Music, Shooter, Action, Demons, First-Person, Combat, Female Protagonist, Adventure, Score Attack, Dark Fantasy, Dark, Stylized, Cinematic, Narration, Fantasy",20
1062110,UNSIGHTED,"Action, Adventure, Metroidvania, Pixel Graphics, Female Protagonist, Indie, RPG, Souls-like, LGBTQ+, 2D, Exploration, Action RPG, Sci-fi, Singleplayer, Post-apocalyptic, Atmospheric, Co-op, Platformer, Puzzle Platformer, Shooter",20
1063660,Bendy and the Dark Revival,"Horror, Action, Singleplayer, First-Person, Indie, Survival Horror, Adventure, Cartoony, Story Rich, Dark, Puzzle, Survival, Action-Adventure, Stealth, Sequel, Combat, Atmospheric, Strategy, Great Soundtrack, Casual",20
1064221,Halo: Combat Evolved Anniversary,"Action, Great Soundtrack, Classic, Multiplayer, FPS, Sci-fi, Shooter, First-Person, Co-op, Singleplayer, Atmospheric, Story Rich, Aliens, Lore-Rich, Epic, Horror, Beautiful, Space, Online Co-Op, Adventure",20
1064270,Halo 2: Anniversary,"Action, Great Soundtrack, FPS, Classic, Sci-fi, Multiplayer, Story Rich, Singleplayer, Shooter, First-Person, Epic, Co-op, Violent, Gore, Atmospheric, Aliens, Lore-Rich, Beautiful, Difficult",19
1064271,Halo 3,"Action, Great Soundtrack, FPS, Multiplayer, Classic, Shooter, Sci-fi, First-Person, Co-op, Singleplayer, Epic, Story Rich, Co-op Campaign, Beautiful, Atmospheric, Lore-Rich, Aliens, Horror, Adventure, Character Customization",20
1067540,Röki,"Adventure, Puzzle, Story Rich, Atmospheric, Singleplayer, Emotional, Casual, Fantasy, Female Protagonist, Third Person, Mythology, Colorful, Nature, Indie, Exploration, Pixel Graphics, Narration, Beautiful, Snow, Great Soundtrack",20
1072040,Panzer Corps 2,"Strategy, World War II, Turn-Based Strategy, War, Military, Turn-Based, Hex Grid, Wargame, Grand Strategy, Historical, Management, Turn-Based Tactics, Tactical, Artificial Intelligence, Multiplayer, Singleplayer, Turn-Based Combat, Simulation, Replay Value, 3D",20
1079800,Pistol Whip,"VR, Action, Rhythm, Shooter, Arcade, FPS, On-Rails Shooter, Level Editor, Music, Bullet Hell, Bullet Time, First-Person, Assassin, Singleplayer, Soundtrack, Colorful, Gun Customization, Cyberpunk, Post-apocalyptic, Futuristic",20
1079830,Cris Tales,"RPG, Adventure, JRPG, Female Protagonist, Turn-Based Combat, Action, Singleplayer, Indie, Cute, Fantasy, Anime, Story Rich, Colorful, Hand-drawn, Time Travel, Time Manipulation, Turn-Based, Turn-Based Strategy, Strategy RPG, Choices Matter",20
1082430,Before Your Eyes,"Emotional, Narrative, Story Rich, Indie, Colorful, First-Person, Interactive Fiction, Walking Simulator, Singleplayer, Adventure, Cartoony, Hand-drawn, Psychological, Philosophical, Surreal, Mystery, Drama, Cute, Stylized, Family Friendly",20
1082710,Bug Fables: The Everlasting Sapling,"Party-Based RPG, Exploration, Turn-Based, RPG, JRPG, 2.5D, Cute, Funny, Story Rich, Turn-Based Combat, Character Customization, Team-Based, Colorful, Anime, Fantasy, Family Friendly, Comedy, Singleplayer, Indie, Puzzle Platformer",20
1084160,Jagged Alliance 3,"Strategy, Turn-Based Tactics, Tactical, RPG, Turn-Based Strategy, Turn-Based Combat, Tactical RPG, Singleplayer, Strategy RPG, Co-op Campaign, Isometric, Loot, Action, 3D, Turn-Based, Military, Co-op, Classic, Online Co-Op, Sexual Content",20
1084600,My Time at Sandrock,"Life Sim, Building, Farming Sim, Multiplayer, Sandbox, Crafting, RPG, Dating Sim, Open World, Character Customization, Mining, Adventure, Post-apocalyptic, Simulation, Casual, Singleplayer, Female Protagonist, Cartoony, Indie, LGBTQ+",20
1084640,Chicken Police - Paint it RED!,"Visual Novel, Detective, Noir, Story Rich, Crime, Adventure, Point & Click, Atmospheric, Singleplayer, Conversation, Dark Humor, Cats, Puzzle, Nature, Clicker, Cinematic, Hidden Object, 2.5D, 2D, America",20
1086940,Baldur's Gate 3,"RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat, Dungeons & Dragons, CRPG, Fantasy, Adventure, Sexual Content, Romance, Online Co-Op, Multiplayer, Strategy, Singleplayer, Co-op Campaign, Nudity, Class-Based, Dark Fantasy, Combat",20
1089980,The Henry Stickmin Collection,"Funny, Multiple Endings, Memes, Comedy, 2D, Choose Your Own Adventure, Singleplayer, Choices Matter, Classic, Point & Click, Epic, Hand-drawn, Adventure, Indie, Family Friendly, Action, Interactive Fiction, Casual, Parody, Old School",20
1092790,Inscryption,"Card Battler, Card Game, Story Rich, Horror, Deckbuilding, Dark, Puzzle, Roguelike, Roguelite, Strategy, Psychological, Surreal, Experimental, First-Person, Point & Click, 3D, 2D, Pixel Graphics, FMV, Adventure",20
1102190,Monster Train,"Card Battler, Roguelite, Card Game, Deckbuilding, Turn-Based Tactics, Roguelike, Turn-Based Strategy, PvP, Strategy, Difficult, Roguelike Deckbuilder, Turn-Based Combat, RPG, Choices Matter, Procedural Generation, Colorful, Fantasy, Demons, Magic, Trains",20
1116580,Shady Part of Me,"Indie, Puzzle, Atmospheric, Female Protagonist, Platformer, Psychological, Singleplayer, Adventure, 3D Platformer, Short, Puzzle Platformer, Casual, Linear, Horror, Physics, Great Soundtrack, Psychological Horror, Story Rich, Dark, Cute",20
1118010,Monster Hunter World: Iceborne,"Action, Multiplayer, Co-op, Open World, Difficult, Hunting, Third Person, Singleplayer, Adventure, Online Co-Op, RPG, Character Customization, Dragons, Exploration, Hack and Slash, Story Rich, PvE, JRPG, Dinosaurs, Dating Sim",20
1119980,In Sound Mind,"Horror, Psychological Horror, Story Rich, Puzzle, Action, Singleplayer, Atmospheric, First-Person, Indie, Shooter, FPS, Action-Adventure, Exploration, Platformer, Cats, Psychedelic, Music, 3D Platformer, Hidden Object, Puzzle Platformer",20
1121560,Atelier Ryza: Ever Darkness & the Secret Hideout,"JRPG, Exploration, Crafting, Collectathon, Cute, Female Protagonist, Turn-Based, RPG, Anime, Turn-Based Combat, Story Rich, Casual, Action, Simulation, Fantasy, Emotional, Adventure, Singleplayer, Sexual Content, Great Soundtrack",20
1123450,Chicory: A Colorful Tale,"Indie, Adventure, RPG, Cute, Great Soundtrack, Emotional, Colorful, Story Rich, Puzzle, Relaxing, Local Co-Op, Funny, Singleplayer, 2D, LGBTQ+, Metroidvania, Co-op, Casual, Family Friendly, Psychological Horror",20
1127420,Sim Racing Telemetry - F1 2019,"Racing, Simulation, Utilities, Early Access, Automobile Sim",5
1128920,EVERSPACE™ 2,"Shooter, Space, Loot, Exploration, Open World, Looter Shooter, Action RPG, Action-Adventure, Story Rich, Adventure, Action, PvE, Combat, Flight, Simulation, RPG, Singleplayer, Third-Person Shooter, Sci-fi, Third Person",20
1135690,Unpacking,"Relaxing, Cute, Casual, Pixel Graphics, Puzzle, Story Rich, Singleplayer, Simulation, Indie, Life Sim, Point & Click, Atmospheric, LGBTQ+, Female Protagonist, Isometric, Family Friendly, Colorful, Inventory Management, 2D, Hidden Object",20
1138660,Black Book,"Card Battler, Turn-Based Tactics, Card Game, 3D, Female Protagonist, Turn-Based, Dungeon Crawler, Roguelite, RPG, Mythology, Roguelike, Strategy RPG, Choices Matter, Deckbuilding, Story Rich, Strategy, Dark Fantasy, Open World, Fantasy, Turn-Based Combat",20
1139900,Ghostrunner,"Action, Cyberpunk, Fast-Paced, First-Person, Difficult, Swordplay, Singleplayer, Hack and Slash, Futuristic, Violent, Sci-fi, Great Soundtrack, Action-Adventure, Combat, Adventure, Ninja, Post-apocalyptic, Fighting, Strategy, Shooter",20
1139940,ATOM RPG Trudograd,"Open World, CRPG, Survival, RPG, Sandbox, Post-apocalyptic, Turn-Based Combat, Immersive Sim, Story Rich, Isometric, Replay Value, Turn-Based, Exploration, Singleplayer, Tactical, Atmospheric, Choices Matter, Turn-Based Strategy, Adventure, Dystopian",20
1142850,Darkness Rollercoaster - Ultimate Shooter Edition,"On-Rails Shooter, Hero Shooter, FPS, Shooter, Shoot 'Em Up, Arcade, VR, Dark Fantasy, Sci-fi, Cute, Dark Humor, Bullet Time, Asymmetric VR, 3D, Action, Cartoony, Family Friendly, Fantasy, Science, Score Attack",20
1145360,Hades,"Action Roguelike, Roguelite, Hack and Slash, Indie, Mythology, Action, Roguelike, Singleplayer, Great Soundtrack, Story Rich, RPG, Dungeon Crawler, Replay Value, Isometric, Difficult, Action RPG, Hand-drawn, Atmospheric, Perma Death, LGBTQ+",20
1147550,Not For Broadcast,"Adventure, 1980s, Choices Matter, Dystopian, Simulation, Dark Comedy, FMV, Story Rich, Multiple Endings, Management, Political Sim, Interactive Fiction, Choose Your Own Adventure, Political, Atmospheric, Point & Click, First-Person, Alternate History, Singleplayer, Indie",20
1148760,I Was a Teenage Exocolonist,"Choices Matter, Life Sim, Deckbuilding, RPG, Dating Sim, Visual Novel, Story Rich, Choose Your Own Adventure, Singleplayer, Interactive Fiction, Sci-fi, Multiple Endings, Card Game, Simulation, Futuristic, LGBTQ+, Indie, Hand-drawn, Management, Turn-Based",20
